,Ch,,No,Term,Definition
,22,,31,Pulmonary Circulation,The flow of blood from the heart to the lungs and back.
,22,,32,Systemic Circulation,"The flow of blood from the heart to all parts of the body, except the lungs, and back to the heart."
x,24,a,1,Central Nervous System,The portion of the nervous system consisting of the brain and spinal cord.
,24,a,2,Meninges,The protective coverings of the brain and spinal cord.
,24,a,3,Cerebrospinal Fluid,The fluid that nourishes and protects the brain and spinal cord and that flows between the two inner meninges.
,24,a,4,Peripheral Nervous System,The portion of the nervous system consisting of the nerves and ganglia outside the brain and spinal cord.
x,24,a,5,Neuron,The functional unit of the nervous system; the cell that receives and distributes nerve impulses.
,24,a,6,Cell Body,The part of a neuron containing the nucleus and cytoplasmic organelles.
,24,a,7,Dendrite,The part of a neuron that receives nerve impulses and transmits them toward the cell body.
,24,a,8,Axon,The portion of a neuron that carries impulses away from the cell body.
,24,a,9,Cerebrum,The part of the brain responsible for voluntary muscle activity and conscious activity.
,24,a,10,Thalamus,The brain region that receives general sensations and relays impulses to the cerebrum; regulates consciousness and sleep
,24,a,11,Hypothalamus,"The region of the brain that controls involuntary activities, emotional expressions, and appetite for food, and links the nervous and endocrine systems."
,24,a,12,Cerebellum,"The part of the brain that controls body coordination and monitors and adjusts body activities involving muscle tone, body posture, and equilibrium."
x,24,a,13,Brain Stem,The part of the brain that connects to the spinal cord and controls body movements and posture.
,24,a,14,Resting Potential,The relative charge difference between the inside and outside of a neuron.
,24,a,15,Action Potential,The rapid change in charge difference across the cell membrane of a neuron that carries a nerve impulse along the axon of the neuron.
x,24,a,16,Synapse,The  space between an axon and a dendrite or between the end of an axon and the body structure that it affects.
,24,a,17,Neurotransmitter,A chemical that a neuron releases into the synaptic cleft for the purpose of stimulating receptor proteins in the membrane of the next neuron.
,24,a,18,Threshold,The strength that a stimulus must reach before it causes an action potential.
x,24,a,19,Sensory Neuron,A neuron that carries impulses toward the spinal cord or brain.
,24,a,20,Interneuron,A neuron located in the central nervous system that transmits an impulse from a sensory neuron to another neuron.
x,24,a,21,Motor Neuron,A neuron that receives impulses from the central nervous system and stimulates a muscle or gland.
,24,a,22,Parasympathetic Nervous System,The system of neurons that helps the body return to normal processes after a stressful situation.
,24,a,23,Sympathetic Nervous System,A system of neurons that helps the body adjust to stressful situations.
x,24,b,1,Sensory Receptor,A neuron that carries impulses from the sensory organ toward the spinal cord or the brain.
,24,b,2,External Auditory Canal,The passage way from the external ear to the eardrum.
x,24,b,3,Tympanic Membrane,"The circular membranous structure that transmits sound vibrations to the middle ear cavity; also, the eardrum."
,24,b,4,Malleus,"The first of the three bones in the middle ear that transmit vibration from the eardrum to the inner ear; also, the hammer."
,24,b,5,Incus,"The second of the three bones in the middle ear that transmits vibrations from the eardrum to the inner ear; also, the anvil."
,24,b,6,Stapes,"The third of the three bones in the middle ear that transmit vibrations from the eardrum to the inner ear; also, the stirrup."
,24,b,7,Cochlea,The snail-shaped division of the inner ear that functions in sound perception
,24,b,8,Semicircular Canal,A structure in the inner ear that maintains dynamic equilibrium.
,24,b,9,Sclera,"The outer layer of the eye; the ""white of the eye""."
,24,b,10,Cornea,The transparent front portion of the sclera of the eye.
,24,b,11,Choroid,The thin middle layer of the eyeball that contains blood vessels for nourishing the retina
x,24,b,12,Iris,The colored portion of the eye that controls the size of the pupil.
,24,b,13,Pupil,The circular opening in the iris of the eye.
,24,b,14,Retina,The innermost layer of the eyeball composed of light-sensitive photoreceptors and their fibers.
x,24,b,15,Optic Nerve,The nerve that carries nerve impulses from the photoreceptors to the occipital lobe of the brain.
,24,b,16,Lens,The transparent structure within the eye that focuses light rays on the retina.
,24,b,17,Olfactory Sense,The sense of smell
,24,b,18,Hair Cell,The receptor cells in the cochlea that converts vibrations into nerve impulses.
x,24,b,19,Rod,One of the sensory receptors in the eye that is not sensitive to color but can rapidly discern movement and is important in night vision.
x,24,b,20,Cone,Any of the receptors in the eye that is sensitive to color
x,24,c,1,Hormone,A chemical regulator produced in an endocrine gland and carried in blood to its target cell.
,24,c,2,Pituitary Gland,An endocrine gland attached to the hypothalamus that controls many of the endocrine glands.
,24,c,3,Growth Hormone,A hormone produced by the anterior pituitary gland that primarily affects bone growth.
,24,c,4,Oxytocin,A hormone that is released at the posterior lobe of the pituitary gland by the hypothalamus and that stimulates smooth muscle to contract.
,24,c,5,Pineal Gland,A small endocrine gland in the brain that secretes melatonin.
,24,c,6,Thyroid,The endocrine gland that controls the body's overall rate of metabolism and affects bone growth.
,24,c,7,Thyroxine,The thyroid hormone that regulates metabolic rate.
,24,c,8,Calcitonin,The thyroid hormone that lowers the blood calcium level by causing the calcium to be moved to the bones.
,24,c,9,Parathyroid Gland,The endocrine gland that helps regulate calcium and phosphorus levels in the body.
,24,c,10,Adrenal Gland,"Either of the endocrine glands located on each kidney tat produce several different hormones, including epinephrine and norepinephrine."
,24,c,11,Epinephrine,The hormone secreted by the adrenal medulla that stimulates the flight-or-flight response needed in an emergency.
,24,c,12,Norepinephrine,A hormone created by the adrenal medulla that functions with epinephrine during stressful situations.
,24,c,13,Cortisol,A hormone released by the adrenal glands that helps regulate glucose metabolism during stressful situations.
,24,c,14,Gonad,"A sex gland, referring to the testes in males and the ovaries in females."
,24,c,15,Androgen,A male sex hormone produced by the testes.
x,24,c,16,Testosterone,The androgen that promotes the development of secondary sex characteristics.
x,24,c,17,Estrogen,A female sex hormone that stimulates the development of secondary sex characteristics.
,24,c,18,Progesterone,A female sex hormone involved in the menstrual cycle and in pregnancy.
,24,c,19,Insulin,A hormone produced by the pancreas that helps control the glucose level in the blood.
,24,c,20,Glucagon,A hormone that raises the blood glucose level and stimulates the breakdown of fats to form glucose.
x,24,c,21,Target Cell,A cell that is activated by a hormone.
,24,c,22,Steroid Hormone,A hormone composed largely of lipids that is able to diffuse through its target cell's cell membrane.
,24,c,23,Nonsteroid Hormone,A hormone with out a large lipid component that effects its target cell with the aid of a receptor in the target cell's membrane.
